id,name,startTime,endTime,category
119,English Soccer/League One/Fixtures 05 September/Coventry v Gillingham,2014-09-05 19:00:00,2014-09-05 20:54:09,soccer
120,English Soccer/League One/Fixtures 06 September/Bradford v Yeovil,2014-09-06 14:00:00,2014-09-06 15:53:22,soccer
121,English Soccer/League One/Fixtures 06 September/Oldham v Fleetwood Town,2014-09-06 14:00:00,2014-09-06 15:53:02,soccer
122,English Soccer/League One/Fixtures 06 September/Peterborough v Port Vale,2014-09-06 14:00:00,2014-09-06 15:54:56,soccer
123,English Soccer/League One/Fixtures 06 September/Walsall v Colchester,2014-09-06 14:00:00,2014-09-06 15:53:41,soccer
124,English Soccer/League Two/Fixtures 06 September/Exeter v Mansfield,2014-09-06 14:00:00,2014-09-06 15:57:07,soccer
125,English Soccer/League Two/Fixtures 06 September/Luton v Plymouth,2014-09-06 11:15:00,2014-09-06 13:11:09,soccer
126,English Soccer/League Two/Fixtures 06 September/Southend v Oxford Utd,2014-09-06 14:00:00,2014-09-06 15:59:38,soccer
127,English Soccer/League Two/Fixtures 06 September/Stevenage v York City,2014-09-06 14:00:00,2014-09-06 15:55:49,soccer
128,English Soccer/League Two/Fixtures 06 September/Wycombe v Bury,2014-09-06 14:00:00,2014-09-06 16:05:55,soccer
129,English Soccer/League Two/Fixtures 07 September/Burton v Portsmouth,2014-09-07 11:15:00,2014-09-07 13:08:16,soccer
130,Estonian Soccer/Estonian Cup/Fixtures 02 September/Levadia Tallinn v Saue JK,2014-09-02 15:00:00,2014-09-02 16:33:03,soccer
131,Estonian Soccer/Estonian Cup/Fixtures 02 September/Tallinna FC Dnipro v Sillamae Kalev,2014-09-02 16:00:00,2014-09-02 17:40:03,soccer
132,Estonian Soccer/Estonian II Liga/Fixtures 01 September/Paide Linnameeskond II v JK Kaitseliit Kalev,2014-09-01 18:00:00,2014-09-01 19:54:32,soccer
133,Euro 2016/Euro 2016 Qualifiers/Fixtures 07 September / Denmark v Armenia,2014-09-07 16:00:00,2014-09-07 16:47:12,soccer
134,Euro 2016/Euro 2016 Qualifiers/Fixtures 07 September / Faroe Islands v Finland,2014-09-07 18:45:00,2014-09-07 19:32:37,soccer
135,Euro 2016/Euro 2016 Qualifiers/Fixtures 07 September / Georgia v Rep of Ireland,2014-09-07 16:00:00,2014-09-07 17:53:11,soccer
136,Euro 2016/Euro 2016 Qualifiers/Fixtures 07 September / Germany v Scotland,2014-09-07 18:45:00,2014-09-07 20:55:20,soccer
137,Euro 2016/Euro 2016 Qualifiers/Fixtures 07 September / Gibraltar v Poland,2014-09-07 18:45:00,2014-09-07 20:36:15,soccer
138,Euro 2016/Euro 2016 Qualifiers/Fixtures 07 September / Greece v Romania,2014-09-07 18:45:00,2014-09-07 20:39:35,soccer
139,Euro 2016/Euro 2016 Qualifiers/Fixtures 07 September / Hungary v Northern Ireland,2014-09-07 16:00:00,2014-09-07 17:51:45,soccer
140,Euro 2016/Euro 2016 Qualifiers/Fixtures 07 September / Portugal v Albania,2014-09-07 18:45:00,2014-09-07 20:40:44,soccer
141,Euro 2016/Euro 2016 Qualifiers/Fixtures 07 September/Denmark v Armenia,2014-09-07 16:00:00,2014-09-07 17:50:32,soccer
142,Euro 2016/Euro 2016 Qualifiers/Fixtures 07 September/Georgia v Rep of Ireland,2014-09-07 16:00:00,2014-09-07 17:53:19,soccer
143,FIBA Basketball World Cup 2014,2014-08-30 10:00:00,2014-09-09 20:53:00,basket
144,FIBA Basketball World Cup 2014/Fixtures 01 September/Argentina v Philippines,2014-09-01 15:30:00,2014-09-01 17:12:56,basket
145,FIBA Basketball World Cup 2014/Fixtures 01 September/Brazil v Spain,2014-09-01 20:00:00,2014-09-01 21:38:39,basket
146,FIBA Basketball World Cup 2014/Fixtures 01 September/Croatia v Senegal,2014-09-01 10:30:00,2014-09-01 12:33:46,basket
147,FIBA Basketball World Cup 2014/Fixtures 01 September/France v Egypt,2014-09-01 16:00:00,2014-09-01 17:46:06,basket
148,FIBA Basketball World Cup 2014/Fixtures 01 September/Iran v Serbia,2014-09-01 13:30:00,2014-09-01 15:25:10,basket
149,FIBA Basketball World Cup 2014/Fixtures 01 September/Puerto Rico v Greece,2014-09-01 18:00:00,2014-09-01 20:12:15,basket
150,FIBA Basketball World Cup 2014/Fixtures 02 September/Angola v Mexico,2014-09-02 11:30:00,2014-09-02 13:17:30,basket
151,FIBA Basketball World Cup 2014/Fixtures 02 September/Australia v Lithuania,2014-09-02 15:30:00,2014-09-02 17:19:07,basket
152,FIBA Basketball World Cup 2014/Fixtures 02 September/Finland v Dominican Republic,2014-09-02 19:30:00,2014-09-03 08:51:37,basket
153,FIBA Basketball World Cup 2014/Fixtures 02 September/South Korea v Slovenia,2014-09-02 18:00:00,2014-09-02 19:49:32,basket
154,FIBA Basketball World Cup 2014/Fixtures 02 September/USA v New Zealand,2014-09-02 15:30:00,2014-09-02 17:16:48,basket
155,FIBA Basketball World Cup 2014/Fixtures 02 September/Ukraine v Turkey,2014-09-02 13:00:00,2014-09-02 14:40:30,basket
156,FIBA Basketball World Cup 2014/Fixtures 03 September/Dominican Republic v USA,2014-09-03 19:30:00,2014-09-03 21:12:27,basket
157,FIBA Basketball World Cup 2014/Fixtures 03 September/Egypt v Iran,2014-09-03 13:30:00,2014-09-03 15:15:10,basket
158,FIBA Basketball World Cup 2014/Fixtures 03 September/Greece v Croatia,2014-09-03 18:00:00,2014-09-03 19:45:26,basket
159,FIBA Basketball World Cup 2014/Fixtures 03 September/Lithuania v South Korea,2014-09-03 18:00:00,2014-09-03 19:41:40,basket
160,FIBA Basketball World Cup 2014/Fixtures 03 September/Mexico v Australia,2014-09-03 11:30:00,2014-09-03 14:19:38,basket
161,FIBA Basketball World Cup 2014/Fixtures 03 September/New Zealand v Ukraine,2014-09-03 13:00:00,2014-09-03 14:47:28,basket
162,FIBA Basketball World Cup 2014/Fixtures 03 September/Philippines v Puerto Rico,2014-09-03 11:30:00,2014-09-03 14:21:40,basket
163,FIBA Basketball World Cup 2014/Fixtures 03 September/Senegal v Argentina,2014-09-03 15:30:00,2014-09-03 17:26:15,basket
164,FIBA Basketball World Cup 2014/Fixtures 03 September/Serbia v Brazil,2014-09-03 16:00:00,2014-09-03 18:11:51,basket
165,FIBA Basketball World Cup 2014/Fixtures 03 September/Slovenia v Angola,2014-09-03 15:30:00,2014-09-03 17:30:04,basket
166,FIBA Basketball World Cup 2014/Fixtures 03 September/Spain v France,2014-09-03 20:00:00,2014-09-04 07:33:48,basket
167,FIBA Basketball World Cup 2014/Fixtures 03 September/Turkey v Finland,2014-09-03 15:30:00,2014-09-03 17:47:41,basket
168,FIBA Basketball World Cup 2014/Fixtures 04 September/Argentina v Greece,2014-09-04 20:00:00,2014-09-05 07:15:59,basket
169,FIBA Basketball World Cup 2014/Fixtures 04 September/Australia v Angola,2014-09-04 11:30:00,2014-09-04 13:50:48,basket
170,FIBA Basketball World Cup 2014/Fixtures 04 September/Brazil v Egypt,2014-09-04 13:30:00,2014-09-04 15:11:27,basket
171,FIBA Basketball World Cup 2014/Fixtures 04 September/Croatia v Puerto Rico,2014-09-04 16:00:00,2014-09-04 18:22:51,basket
172,FIBA Basketball World Cup 2014/Fixtures 04 September/Finland v New Zealand,2014-09-04 13:00:00,2014-09-04 15:12:33,basket
173,FIBA Basketball World Cup 2014/Fixtures 04 September/Iran v France,2014-09-04 16:00:00,2014-09-04 17:45:58,basket
174,FIBA Basketball World Cup 2014/Fixtures 04 September/Lithuania v Slovenia,2014-09-04 19:30:00,2014-09-04 21:22:55,basket
